"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","fc1_layer_size","fc2_layer_size","learning_rate","method","metric.goal","metric.name","optimizer","parameters.batch_size.distribution","parameters.batch_size.max","parameters.batch_size.min","parameters.batch_size.q","parameters.fc1_layer_sizes","parameters.fc2_layer_sizes","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.optimizers","epoch","test_auc_roc","test_f1","test_loss","test_pAUC","test_precision","test_recall","train_loss_epoch","train_loss_step","trainer/global_step","val_loss","val_pAUC"
"sleek-sweep-6","","finished","-","","","2024-11-26T09:00:57.000Z","18","07z1rcc0","56","256","128","0.032268680902037904","","","","adam","","","","","","","","","","","","","","","","","","","","","",""
"noble-sweep-5","","finished","-","","","2024-11-26T08:41:45.000Z","1149","07z1rcc0","48","256","128","0.07933175432257238","","","","sgd","","","","","","","","","","","20","0.9016889333724976","0.765625","0.6442657113075256","0.12266666442155838","0.9245283007621764","0.653333306312561","0.295081228017807","0.2765946090221405","1840","0.5686222314834595","0.12924444675445557"
"upbeat-sweep-3","","finished","-","","","2024-11-26T08:11:38.000Z","1146","07z1rcc0","48","128","64","0.096036663079472","","","","sgd","","","","","","","","","","","20","0.9086222648620604","0.7819548845291138","0.4449911415576935","0.13724444806575775","0.8965517282485962","0.6933333277702332","0.3176407814025879","0.29940304160118103","1840","0.4937354028224945","0.10097777843475342"
"summer-sweep-2","","finished","-","","","2024-11-26T07:52:36.000Z","1139","07z1rcc0","64","512","128","0.01271888236570209","","","","sgd","","","","","","","","","","","20","0.8736000061035156","0.7200000286102295","0.4875097572803498","0.10293333232402802","0.8999999761581421","0.6000000238418579","0.37340089678764343","0.4491661787033081","1380","0.6226946115493774","0.1086222231388092"
"young-sweep-1","","finished","-","","","2024-11-26T07:32:59.000Z","1171","07z1rcc0","40","256","256","0.026287935231056585","","","","sgd","","","","","","","","","","","20","0.9184000492095948","0.8309859037399292","0.36894139647483826","0.14115555584430697","0.8805969953536987","0.7866666913032532","0.3155784606933594","0.20667903125286105","2220","0.5317898392677307","0.1125333309173584"
